,title,budget,genres,id,keywords,overview,popularity,vote_average,vote_count,cast,director,executive_producer,writer,original_music_composer,director_photography,production_country,production_company,languages
19,2012,200000000,Action Adventure Science Fiction,14161,civilization natural disaster end of the world disaster apocalypse,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",45.274225,5.6,4903,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich,"['Michael Wimer', 'Roland Emmerich', 'Ute Emmerich']","['Roland Emmerich', 'Harald Kloser']","['Harald Kloser', 'Thomas Wanker']",['Dean Semler'],"['Canada', 'United States of America']","['The Mark Gordon Company', 'Columbia Pictures', 'Centropolis Entertainment', 'Farewell Productions']","['English', None, 'Pусский', 'Português', '普通话', 'Latin', 'Italiano', 'हिन्दी', 'Français']"
20,2046,12000000,Fantasy Drama Science Fiction Romance,844,free love hotel lovesickness sexuality kung fu,"2046 is the sequel to Wong Kar-Wais’ successful box-office hit In The Mood For Love. A film about affairs, ending relationships, and a shared love for Kung-Fu novels as the main character, Chow, writes his own novel and reflects back on his favorite love Su.",12.664786999999999,6.9,206,Tony Leung Chiu-Wai Zhang Ziyi Faye Wong Takuya Kimura Gong Li,Wong Kar-wai,,,['Shigeru Umebayashi'],"['Yiu-Fai Lai', 'Christopher Doyle', 'Kwan Pung-Leung']","['Germany', 'France', 'China', 'Hong Kong', 'Italy']","['Jet Tone Films', 'Orly Films', 'Shanghai Film Group Corporation', 'Paradis Films']","['日本語', '普通话', '广州话 / 廣州話']"
21,21,35000000,Drama Crime,8065,gambling card game professor harvard university cohabitant,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",45.149947999999995,6.5,1375,Jim Sturgess Kevin Spacey Kate Bosworth Aaron Yoo Liza Lapira,Robert Luketic,"['Brett Ratner', 'Ryan Kavanaugh', 'William S. Beasley']",,,['Russell Carpenter'],['United States of America'],"['Columbia Pictures', 'Relativity Media']",['English']
22,21 Grams,20000000,Drama Crime Thriller,470,life and death transplantation suicide attempt desperation loss of family,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English émigré, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.",32.243357,7.2,918,Sean Penn Naomi Watts Benicio del Toro Danny Huston Carly Nahon,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,['Ted Hope'],,['Gustavo Santaolalla'],['Rodrigo Prieto'],['United States of America'],"['Y Productions', 'Mediana Productions Filmgesellschaft', 'This Is That Productions']",['English']
23,21 Jump Street,42000000,Action Comedy Crime,64688,male friendship high school parody crude humor based on tv series,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",62.714026000000004,6.7,4074,Channing Tatum Jonah Hill Brie Larson Dave Franco Ellie Kemper,Phil Lord,"['Jonah Hill', 'Tania Landau', 'Ezra Swerdlow', 'Channing Tatum']",,['Mark Mothersbaugh'],['Barry Peterson'],['United States of America'],"['Stephen J. Cannell Productions', 'Original Film', 'Metro-Goldwyn-Mayer (MGM)', 'Relativity Media', 'Columbia Pictures']",['English']
24,21 & Over,13000000,Comedy,107811,alcohol birthday debauchery,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",35.522027,5.7,737,Miles Teller Skylar Astin Justin Chon Sarah Wright Jonathan Keltz,Jon Lucas,,,,['Terry Stacey'],['United States of America'],"['Mandeville Films', 'Virgin Produced', 'SkyLand Entertainment', 'Relativity Media']",['English']
25,22 Jump Street,50000000,Crime Comedy Action,187017,high school undercover cop buddy comedy aftercreditsstinger duringcreditsstinger,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",52.380982,7.0,3319,Jonah Hill Channing Tatum Dave Franco Ice Cube Nick Offerman,Phil Lord,"['Reid Carolin', 'Tania Landau', 'Stephen J. Cannell', 'Christopher Miller', 'Brian Bell', 'Phil Lord']",,['Mark Mothersbaugh'],['Barry Peterson'],['United States of America'],"['Metro-Goldwyn-Mayer (MGM)', 'Columbia Pictures', 'Original Film', 'Media Rights Capital', 'Cannell Studios', 'LStar Capital', '33andOut Productions', 'JHF Productions']",['English']
26,25th Hour,15000000,Crime Drama,1429,prison prisoner dream drug dealer nightclub,"The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint.",30.19603900000001,7.2,629,Edward Norton Philip Seymour Hoffman Barry Pepper Rosario Dawson Anna Paquin,Spike Lee,,,['Terence Blanchard'],['Rodrigo Prieto'],['United States of America'],"['40 Acres & A Mule Filmworks', 'Touchstone Pictures']",['English']
27,27 Dresses,30000000,Comedy Romance,6557,lovesickness newspaper bar sister sister relationship new love,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,30.695228000000004,6.1,978,Katherine Heigl James Marsden Malin \u00c5kerman Judy Greer Edward Burns,Anne Fletcher,"['Robert F. Newmyer', 'Michael Mayer', 'Erin Stam', 'Becki Cross Trujillo']",['Aline Brosh McKenna'],,['Peter James'],['United States of America'],"['Dune Entertainment III', 'Spyglass Entertainment', 'Fox 2000 Pictures']",['English']
28,28 Days Later,5000000,Horror Thriller Science Fiction,170,london england manchester city submachine gun gas station survivor,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",45.490373999999996,7.1,1777,Cillian Murphy Naomie Harris Noah Huntley Christopher Dunne Emma Hitching,Danny Boyle,,,['John Murphy'],['Anthony Dod Mantle'],['United Kingdom'],"['British Film Council', 'DNA Films']","['Español', 'English']"
29,28 Weeks Later,15000000,Horror Thriller Science Fiction,1562,london england loss of mother loss of family mutant pest,"In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",34.759855,6.5,1197,Imogen Poots Robert Carlyle Rose Byrne Jeremy Renner Harold Perrineau,Juan Carlos Fresnadillo,"['Alex Garland', 'Danny Boyle']",,,['Enrique Chediak'],"['Spain', 'United Kingdom']","['Figment Films', 'Fox Atomic', 'DNA Films', 'Sociedad General de Cine S.A.', 'Koan Films', 'UK Film Council']",['English']
30,2 Fast 2 Furious,76000000,Action Crime Thriller,584,miami car race sports car los angeles car,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",10.520961,6.2,2028,Paul Walker Tyrese Gibson Eva Mendes Cole Hauser Ludacris,John Singleton,"['Lee R. Mayes', 'Michael Fottrell']",,['David Arnold'],['Matthew F. Leonetti'],['United States of America'],"['Original Film', 'Universal Pictures', 'Mikona Productions GmbH & Co. KG', 'Ardustry Entertainment']","['Español', 'English']"
31,2 Guns,61000000,Action Comedy Crime,136400,undercover undercover agent based on comic book money fugitive,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,42.881415000000004,6.6,1589,Denzel Washington Mark Wahlberg Paula Patton Bill Paxton Fred Ward,Baltasar Korm\u00e1kur,"['Brandt Andersen', 'Mark Damon', 'Motaz M. Nabulsi', 'Joshua Skurla', 'Jeffrey Stott']",,['Clinton Shorter'],['Oliver Wood'],['United States of America'],"['Emmett/Furla Films', 'Marc Platt Productions', 'Universal Studios', 'Envision Entertainment Corporation']","['English', 'Español']"
32,300,65000000,Action Adventure War,1271,evisceration javelin shield army fall from height,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",65.197968,7.0,4997,Gerard Butler Lena Headey Dominic West David Wenham Vincent Regan,Zack Snyder,"['Frank Miller', 'Craig J. Flores', 'Deborah Snyder', 'Scott Mednick', 'William Fay', 'Thomas Tull', 'Ben Waisbren']",,['Tyler Bates'],['Larry Fong'],['United States of America'],"['Nimar Studios', 'Cruel and Unusual Films', 'Warner Bros.', 'Atmosphere Entertainment MM', 'Hollywood Gang Productions', 'Legendary Pictures', 'Virtual Studios']",['English']
33,3000 Miles to Graceland,62000000,Action Adventure Comedy Thriller Crime,12138,casino submachine gun hold-up robbery elvis reference to elvis presley,"It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, Michael must track down Murphy.",11.262655,5.8,178,Kurt Russell Kevin Costner Courteney Cox Christian Slater Kevin Pollak,Demian Lichtenstein,"['Tracee Stanley', 'Don Carmody']",,,['David Franco'],['United States of America'],"['Morgan Creek Productions', 'Franchise Pictures', 'Warner Bros.']",['English']
34,300: Rise of an Empire,110000000,Action War,53182,based on graphic novel ancient greece duringcreditsstinger sea battle hand to hand combat,"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.",71.51059599999998,6.1,2397,Sullivan Stapleton Eva Green Lena Headey Callan Mulvey David Wenham,Noam Murro,,,,['Simon Duggan'],['United States of America'],"['Atmosphere Entertainment MM', 'Warner Bros.', 'Nimar Studios', 'Cruel and Unusual Films', 'Legendary Pictures', 'Hollywood Gang Productions']",['English']
35,30 Days of Night,30000000,Horror Thriller,4513,sunrise winter vampire marriage crisis alaska,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",33.394082,6.2,767,Josh Hartnett Melissa George Ben Foster Danny Huston Mark Boone Junior,David Slade,"['Aubrey Henderson', 'Mike Richardson', 'Nathan Kahane']",,['Brian Reitzell'],['Jo Willems'],"['New Zealand', 'United States of America']","['Columbia Pictures', 'HorrorFlix', 'Ghost House Pictures', 'Dark Horse Entertainment']",['English']
36,30 Minutes or Less,28000000,Action Adventure Comedy,62206,pizza delivery adventure pizza boy number in title comedy,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",25.039382999999997,5.6,531,Jesse Eisenberg Danny McBride Aziz Ansari Bianca Kajlich Nick Swardson,Ruben Fleischer,,,,,"['United States of America', 'Canada', 'Germany']",['Columbia Pictures'],"['English', 'Deutsch', 'Español']"
37,3:10 to Yuma,55000000,Western,5176,saloon hero liberation of prisoners transport of prisoners wilderness,"In Arizona in the late 1800's, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",48.80108900000001,6.9,1188,Russell Crowe Christian Bale Logan Lerman Dallas Roberts Peter Fonda,James Mangold,"['Lynwood Spinks', 'Ryan Kavanaugh']",,,['Phedon Papamichael'],['United States of America'],"['Relativity Media', 'Tree Line Films', 'Lionsgate', 'Yuma']",['English']
38,3 Days to Kill,28000000,Action Drama Thriller Crime,192102,retirement secret service illegal drugs,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",41.638961,6.0,883,Kevin Costner Amber Heard Hailee Steinfeld Connie Nielsen T\u00f3mas Lemarquis,McG,,,['Guillaume Roussel'],['Thierry Arbogast'],"['France', 'United States of America']","['Wonderland Sound and Vision', 'Paradise/MGN', 'Feelgood Entertainment', '3DTK', 'Relativity Media', 'EuropaCorp']",['English']
39,3 Strikes,6000000,Action Comedy Romance,47816,sport,"Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting.",1.433692,5.9,15,Brian Hooks N'Bushe Wright Faizon Love E-40 Starletta DuPois,DJ Pooh,,['DJ Pooh'],,,['United States of America'],['[]'],['English']
40,42,40000000,Drama,109410,baseball biography sport brooklyn dodgers,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.",31.88455900000001,6.8,787,Chadwick Boseman T.R. Knight Harrison Ford Nicole Beharie Christopher Meloni,Brian Helgeland,"['Dick Cook', 'Jason Clark', 'Jon Jashni']",,['Mark Isham'],['Don Burgess'],['United States of America'],['Warner Bros.'],['[]']
41,42nd Street,439000,Music Comedy Romance,3062,philadelphia musical stage show director broken ankle,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",1.933366,6.1,37,Warner Baxter Bebe Daniels George Brent Ruby Keeler Guy Kibbee,Lloyd Bacon,,,,['Sol Polito'],['United States of America'],['Warner Bros.'],['English']
42,47 Ronin,175000000,Drama Action Adventure Fantasy,64686,japan suicide samurai based on true story samurai sword,"Based on the original 1941 movie from Japan, and from ancient Japan’s most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born.  Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of the 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",41.796339,5.9,1326,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch,,,,,['United States of America'],"['Moving Picture Company (MPC)', 'Stuber Productions', 'Mid Atlantic Films', 'H2F Entertainment', 'Universal']","['English', '日本語']"
