name,id,movie
Tim Burton Productions,8601,Alice in Wonderland
Roth Films,16314,Alice in Wonderland
"Zanuck Company, The",20004,Alice in Wonderland
Ingenious Film Partners,289,X-Men: The Last Stand
Twentieth Century Fox Film Corporation,306,X-Men: The Last Stand
Donners' Company,431,X-Men: The Last Stand
Dune Entertainment,444,X-Men: The Last Stand
Major Studio Partners,445,X-Men: The Last Stand
Bad Hat Harry Productions,9168,X-Men: The Last Stand
thinkfilm,12247,X-Men: The Last Stand
Marvel Enterprises,19551,X-Men: The Last Stand
X3 Canada Productions,79028,X-Men: The Last Stand
X3US Productions,79029,X-Men: The Last Stand
XM3 Service,79030,X-Men: The Last Stand
Walt Disney Pictures,2,Monsters University
Pixar Animation Studios,3,Monsters University
Paramount Pictures,4,Transformers: Revenge of the Fallen
DreamWorks SKG,27,Transformers: Revenge of the Fallen
Amblin Entertainment,56,Transformers: Revenge of the Fallen
Di Bonaventura Pictures,435,Transformers: Revenge of the Fallen
Platinum Dunes,2481,Transformers: Revenge of the Fallen
Hasbro Studios,22826,Transformers: Revenge of the Fallen
Revolution Sun Studios,76043,Transformers: Revenge of the Fallen
Paramount Pictures,4,Transformers: Age of Extinction
Amblin Entertainment,56,Transformers: Age of Extinction
Di Bonaventura Pictures,435,Transformers: Age of Extinction
Platinum Dunes,2481,Transformers: Age of Extinction
China Movie Channel,11413,Transformers: Age of Extinction
Hasbro Studios,22826,Transformers: Age of Extinction
Ian Bryce Productions,38833,Transformers: Age of Extinction
Revolution Sun Studios,76043,Transformers: Age of Extinction
Walt Disney Pictures,2,Oz: The Great and Powerful
Roth Films,16314,Oz: The Great and Powerful
Columbia Pictures,5,The Amazing Spider-Man 2
Marvel Enterprises,19551,The Amazing Spider-Man 2
Avi Arad Productions,31828,The Amazing Spider-Man 2
Matt Tolmach Productions,53462,The Amazing Spider-Man 2
Walt Disney Pictures,2,TRON: Legacy
LivePlanet,7161,TRON: Legacy
Prana Studios,18713,TRON: Legacy
Sean Bailey Productions,23791,TRON: Legacy
Revolution Sun Studios,76043,TRON: Legacy
Kontsept Film Company,76067,TRON: Legacy
Walt Disney Pictures,2,Cars 2
Pixar Animation Studios,3,Cars 2
De Line Pictures,2609,Green Lantern
Warner Bros.,6194,Green Lantern
DC Entertainment,9993,Green Lantern
Walt Disney Pictures,2,Toy Story 3
Pixar Animation Studios,3,Toy Story 3
Columbia Pictures,5,Terminator Salvation
The Halcyon Company,4021,Terminator Salvation
Wonderland Sound and Vision,4022,Terminator Salvation
Warner Bros.,6194,Terminator Salvation
Universal Pictures,33,Furious 7
Original Film,333,Furious 7
Fuji Television Network,3341,Furious 7
Dentsu,6452,Furious 7
One Race Films,7154,Furious 7
China Film Co.,40890,Furious 7
Québec Production Services Tax Credit,86352,Furious 7
Media Rights Capital (MRC),86655,Furious 7
Abu Dhabi Film Commission,87857,Furious 7
"Colorado Office of Film, Television & Media",87858,Furious 7
Paramount Pictures,4,World War Z
GK Films,3281,World War Z
Skydance Productions,6277,World War Z
Hemisphere Media Capital,9169,World War Z
Apparatus Productions,11956,World War Z
Latina Pictures,19108,World War Z
2DUX²,23644,World War Z
Paramount Pictures,4,Transformers: Dark of the Moon
Di Bonaventura Pictures,435,Transformers: Dark of the Moon
Indochina Productions,19751,Transformers: Dark of the Moon
Hasbro Studios,22826,Transformers: Dark of the Moon
Twentieth Century Fox Film Corporation,306,X-Men: Days of Future Past
Donners' Company,431,X-Men: Days of Future Past
Marvel Entertainment,7505,X-Men: Days of Future Past
Bad Hat Harry Productions,9168,X-Men: Days of Future Past
TSG Entertainment,22213,X-Men: Days of Future Past
Down Productions,37336,X-Men: Days of Future Past
Revolution Sun Studios,76043,X-Men: Days of Future Past
Paramount Pictures,4,Star Trek Into Darkness
Skydance Productions,6277,Star Trek Into Darkness
Bad Robot,11461,Star Trek Into Darkness
Kurtzman/Orci,12536,Star Trek Into Darkness
New Line Cinema,12,Jack the Giant Slayer
Original Film,333,Jack the Giant Slayer
Legendary Pictures,923,Jack the Giant Slayer
Warner Bros.,6194,Jack the Giant Slayer
Big Kid Pictures,8406,Jack the Giant Slayer
Bad Hat Harry Productions,9168,Jack the Giant Slayer
Village Roadshow Pictures,79,The Great Gatsby
Bazmark Films,240,The Great Gatsby
Warner Bros.,6194,The Great Gatsby
A&E Television Networks,11858,The Great Gatsby
Red Wagon Entertainment,14440,The Great Gatsby
Spectrum Films,14604,The Great Gatsby
Walt Disney Pictures,2,Prince of Persia: The Sands of Time
Jerry Bruckheimer Films,130,Prince of Persia: The Sands of Time
Legendary Pictures,923,Pacific Rim
Warner Bros.,6194,Pacific Rim
Disney Double Dare You (DDY),19750,Pacific Rim
Indochina Productions,19751,Pacific Rim
Lucasfilm,1,Indiana Jones and the Kingdom of the Crystal Skull
Paramount Pictures,4,Indiana Jones and the Kingdom of the Crystal Skull
Walt Disney Pictures,2,The Good Dinosaur
Pixar Animation Studios,3,The Good Dinosaur
Walt Disney Pictures,2,Brave
Pixar Animation Studios,3,Brave
Paramount Pictures,4,Star Trek Beyond
Bad Robot,11461,Star Trek Beyond
Perfect Storm Entertainment,34530,Star Trek Beyond
Alibaba Pictures Group,69484,Star Trek Beyond
Skydance Media,82819,Star Trek Beyond
Sneaky Shark,83644,Star Trek Beyond
Huahua Media,83645,Star Trek Beyond
Walt Disney Pictures,2,WALL·E
Pixar Animation Studios,3,WALL·E
FortyFour Studios,93408,WALL·E
New Line Cinema,12,Rush Hour 3
Columbia Pictures,5,2012
Centropolis Entertainment,347,2012
The Mark Gordon Company,1557,2012
Farewell Productions,10905,2012
Walt Disney,5888,A Christmas Carol
ImageMovers,11395,A Christmas Carol
Village Roadshow Pictures,79,Jupiter Ascending
Dune Entertainment,444,Jupiter Ascending
Anarchos Productions,450,Jupiter Ascending
Warner Bros.,6194,Jupiter Ascending
Village Roadshow Pictures,79,The Legend of Tarzan
Dark Horse Entertainment,552,The Legend of Tarzan
Jerry Weintraub Productions,2596,The Legend of Tarzan
RatPac-Dune Entertainment,41624,The Legend of Tarzan
Beagle Pug Films,46339,The Legend of Tarzan
Riche Productions,86565,The Legend of Tarzan
Village Roadshow Films North America,86566,The Legend of Tarzan
Walt Disney,5888,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Walden Media,10221,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Ingenious Media,290,Dawn of the Planet of the Apes
Chernin Entertainment,7076,Dawn of the Planet of the Apes
TSG Entertainment,22213,Dawn of the Planet of the Apes
Twentieth Century Fox Film Corporation,306,X-Men: Apocalypse
Donners' Company,431,X-Men: Apocalypse
Marvel Entertainment,7505,X-Men: Apocalypse
Bad Hat Harry Productions,9168,X-Men: Apocalypse
TSG Entertainment,22213,X-Men: Apocalypse
Kinberg Genre,78091,X-Men: Apocalypse
DC Comics,429,The Dark Knight
Legendary Pictures,923,The Dark Knight
Warner Bros.,6194,The Dark Knight
DC Entertainment,9993,The Dark Knight
Syncopy,9996,The Dark Knight
Pixar Animation Studios,3,Up
DreamWorks Animation,521,Monsters vs Aliens
Marvel Studios,420,Iron Man
Paramount Pictures,4,Hugo
Infinitum Nihil,2691,Hugo
GK Films,3281,Hugo
"Todman, Simon, LeMasters Productions",2507,Wild Wild West
Warner Bros.,6194,Wild Wild West
Peters Entertainment,16774,Wild Wild West
Sonnenfeld Josephson Worldwide Entertainment,57088,Wild Wild West
Universal Pictures,33,The Mummy: Tomb of the Dragon Emperor
China Film Co-Production Corporation,2269,The Mummy: Tomb of the Dragon Emperor
Relativity Media,7295,The Mummy: Tomb of the Dragon Emperor
Alphaville Films,11462,The Mummy: Tomb of the Dragon Emperor
"Sommers Company, The",19643,The Mummy: Tomb of the Dragon Emperor
DC Comics,429,Suicide Squad
Dune Entertainment,444,Suicide Squad
Atlas Entertainment,507,Suicide Squad
Warner Bros.,6194,Suicide Squad
DC Entertainment,9993,Suicide Squad
Columbia Pictures,5,Evan Almighty
Universal Pictures,33,Evan Almighty
Spyglass Entertainment,158,Evan Almighty
Shady Acres Entertainment,159,Evan Almighty
Original Film,333,Evan Almighty
Playtone,4171,Evan Almighty
Relativity Media,7295,Evan Almighty
Village Roadshow Pictures,79,Edge of Tomorrow
Warner Bros.,6194,Edge of Tomorrow
Viz Media,6687,Edge of Tomorrow
Province of British Columbia Production Services Tax Credit,12200,Edge of Tomorrow
3 Arts Entertainment,36390,Edge of Tomorrow
RatPac-Dune Entertainment,41624,Edge of Tomorrow
Universal Pictures,33,Waterworld
Gordon Company,1073,Waterworld
Davis Entertainment,1302,Waterworld
Licht/Mueller Film Corporation,6092,Waterworld
Paramount Pictures,4,G.I. Joe: The Rise of Cobra
Spyglass Entertainment,158,G.I. Joe: The Rise of Cobra
Di Bonaventura Pictures,435,G.I. Joe: The Rise of Cobra
Hasbro,2598,G.I. Joe: The Rise of Cobra
Kontsept Film Company,76067,G.I. Joe: The Rise of Cobra
Walt Disney Pictures,2,Inside Out
Pixar Animation Studios,3,Inside Out
Walt Disney Pictures,2,The Jungle Book
Walt Disney Studios Motion Pictures,3036,The Jungle Book
Fairview Entertainment,7297,The Jungle Book
Moving Picture Company (MPC),20478,The Jungle Book
Marvel Studios,420,Iron Man 2
Universal Pictures,33,Snow White and the Huntsman
Roth Films,16314,Snow White and the Huntsman
Walt Disney Pictures,2,Maleficent
Walt Disney Studios Motion Pictures,3036,Maleficent
Roth Films,16314,Maleficent
Corsan,7299,The Lovers
Bliss Media,8186,The Lovers
Limelight International Media Entertainment,8187,The Lovers
Neelmudra Entertainment,8188,The Lovers
Aristos Films,76098,The Lovers
Singularity Productions,76099,The Lovers
Wildkite,76100,The Lovers
Mid Atlantic Films,2735,47 Ronin
Stuber Productions,4403,47 Ronin
Universal,6292,47 Ronin
Moving Picture Company (MPC),20478,47 Ronin
H2F Entertainment,20851,47 Ronin
Marvel Studios,420,Captain America: The Winter Soldier
DreamWorks Animation,521,Shrek Forever After
Walt Disney Pictures,2,Tomorrowland
Babieka,20656,Tomorrowland
A113,59778,Tomorrowland
Walt Disney Pictures,2,Big Hero 6
Walt Disney Animation Studios,6125,Big Hero 6
Summit Entertainment,491,Divergent
Red Wagon Entertainment,14440,Divergent
Walt Disney Animation Studios,6125,Wreck-It Ralph
Golden Mean,1867,The Polar Express
Playtone,4171,The Polar Express
ImageMovers,11395,The Polar Express
Twentieth Century Fox Film Corporation,306,Independence Day: Resurgence
Centropolis Entertainment,347,Independence Day: Resurgence
TSG Entertainment,22213,Independence Day: Resurgence
Stereo D,86561,Independence Day: Resurgence
DreamWorks Animation,521,How to Train Your Dragon
Vertigo Entertainment,829,How to Train Your Dragon
Mad Hatter Entertainment,20154,How to Train Your Dragon
Columbia Pictures,5,Terminator 3: Rise of the Machines
Intermedia Films,763,Terminator 3: Rise of the Machines
Warner Bros.,6194,Terminator 3: Rise of the Machines
C-2 Pictures,7340,Terminator 3: Rise of the Machines
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,19116,Terminator 3: Rise of the Machines
Mostow/Lieberman Productions,23636,Terminator 3: Rise of the Machines
Marvel Studios,420,Guardians of the Galaxy
Moving Picture Company (MPC),20478,Guardians of the Galaxy
Bulletproof Cupid,54850,Guardians of the Galaxy
Revolution Sun Studios,76043,Guardians of the Galaxy
Paramount Pictures,4,Interstellar
Legendary Pictures,923,Interstellar
Warner Bros.,6194,Interstellar
Syncopy,9996,Interstellar
Lynda Obst Productions,13769,Interstellar
Columbia Pictures,5,Daddy Day Care
Revolution Studios,497,Daddy Day Care
Davis Entertainment,1302,Daddy Day Care
Legendary Pictures,923,Inception
Warner Bros.,6194,Inception
Syncopy,9996,Inception
Cine Bazar,5896,Shin Godzilla
Toho Pictures,49301,Shin Godzilla
WingNut Films,11,The Hobbit: An Unexpected Journey
New Line Cinema,12,The Hobbit: An Unexpected Journey
Warner Bros. Pictures,174,The Hobbit: An Unexpected Journey
Metro-Goldwyn-Mayer (MGM),8411,The Hobbit: An Unexpected Journey
Universal Pictures,33,The Fast and the Furious
Original Film,333,The Fast and the Furious
Ardustry Entertainment,26281,The Fast and the Furious
Mediastream Film GmbH & Co. Productions KG,26282,The Fast and the Furious
Paramount Pictures,4,The Curious Case of Benjamin Button
Warner Bros.,6194,The Curious Case of Benjamin Button
"Kennedy/Marshall Company, The",7383,The Curious Case of Benjamin Button
Ingenious Film Partners,289,X-Men: First Class
Ingenious Media,290,X-Men: First Class
Twentieth Century Fox Film Corporation,306,X-Men: First Class
Donners' Company,431,X-Men: First Class
Dune Entertainment,444,X-Men: First Class
Dune Entertainment III,6332,X-Men: First Class
Marvel Entertainment,7505,X-Men: First Class
Bad Hat Harry Productions,9168,X-Men: First Class
Big Screen Productions,10893,X-Men: First Class
Walt Disney Pictures,2,Frozen
Walt Disney Animation Studios,6125,Frozen
Studio Babelsberg,264,The Hunger Games: Mockingjay - Part 2
Lionsgate,1632,The Hunger Games: Mockingjay - Part 2
Color Force,5420,The Hunger Games: Mockingjay - Part 2
Walt Disney Pictures,2,The Sorcerer's Apprentice
Jerry Bruckheimer Films,130,The Sorcerer's Apprentice
Saturn Films,831,The Sorcerer's Apprentice
Broken Road Productions,8000,The Sorcerer's Apprentice
Junction Entertainment,19097,The Sorcerer's Apprentice
Virtual Studios,449,Poseidon
Next Entertainment,1633,Poseidon
Warner Bros.,6194,Poseidon
Irwin Allen Productions,14024,Poseidon
Radiant Productions,18990,Poseidon
Synthesis Entertainment,19943,Poseidon
Walt Disney Pictures,2,Alice Through the Looking Glass
Team Todd,598,Alice Through the Looking Glass
Tim Burton Productions,8601,Alice Through the Looking Glass
Roth Films,16314,Alice Through the Looking Glass
Legend3D,37455,Alice Through the Looking Glass
DreamWorks SKG,27,Shrek the Third
DreamWorks Animation,521,Shrek the Third
Universal Pictures,33,Warcraft
Atlas Entertainment,507,Warcraft
Legendary Pictures,923,Warcraft
Blizzard Entertainment,16028,Warcraft
Paramount Pictures,4,Terminator Genisys
Annapurna Pictures,13184,Terminator Genisys
Skydance Media,82819,Terminator Genisys
Dune Entertainment,444,The Chronicles of Narnia: The Voyage of the Dawn Treader
Fox 2000 Pictures,711,The Chronicles of Narnia: The Voyage of the Dawn Treader
Walden Media,10221,The Chronicles of Narnia: The Voyage of the Dawn Treader
Jerry Bruckheimer Films,130,Pearl Harbor
Touchstone Pictures,9195,Pearl Harbor
Paramount Pictures,4,Transformers
DreamWorks SKG,27,Transformers
Amblin Entertainment,56,Transformers
Di Bonaventura Pictures,435,Transformers
Platinum Dunes,2481,Transformers
thinkfilm,12247,Transformers
SprocketHeads,20011,Transformers
Hasbro Studios,22826,Transformers
Revolution Sun Studios,76043,Transformers
France 3 Cinéma,591,Alexander
Intermedia Films,763,Alexander
Pathé Renn Productions,866,Alexander
Egmond Film & Television,4588,Alexander
Warner Bros.,6194,Alexander
Pacifica Film,10926,Alexander
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,19116,Alexander
WR Universal Group,54997,Alexander
DC Comics,429,Batman Begins
Legendary Pictures,923,Batman Begins
Warner Bros.,6194,Batman Begins
DC Entertainment,9993,Batman Begins
Syncopy,9996,Batman Begins
Patalex III Productions Limited,19231,Batman Begins
Warner Bros.,6194,Harry Potter and the Order of the Phoenix
Heyday Films,7364,Harry Potter and the Order of the Phoenix
Patalex IV Productions Limited,462,Harry Potter and the Goblet of Fire
Warner Bros.,6194,Harry Potter and the Goblet of Fire
Heyday Films,7364,Harry Potter and the Goblet of Fire
Columbia Pictures,5,Hancock
Weed Road Pictures,433,Hancock
Forward Pass,675,Hancock
Relativity Media,7295,Hancock
Overbrook Entertainment,12485,Hancock
Blue Light,28064,Hancock
GH Three,41756,Hancock
Village Roadshow Pictures,79,I Am Legend
Original Film,333,I Am Legend
Weed Road Pictures,433,I Am Legend
Warner Bros.,6194,I Am Legend
Heyday Films,7364,I Am Legend
Overbrook Entertainment,12485,I Am Legend
Village Roadshow Pictures,79,Charlie and the Chocolate Factory
The Zanuck Company,80,Charlie and the Chocolate Factory
Warner Bros.,6194,Charlie and the Chocolate Factory
Tim Burton Productions,8601,Charlie and the Chocolate Factory
Plan B Entertainment,45778,Charlie and the Chocolate Factory
Theobald Film Productions,55512,Charlie and the Chocolate Factory
Walt Disney Pictures,2,Ratatouille
Pixar Animation Studios,3,Ratatouille
DreamWorks Animation,521,Madagascar: Escape 2 Africa
Twentieth Century Fox Film Corporation,306,Night at the Museum: Battle of the Smithsonian
1492 Pictures,436,Night at the Museum: Battle of the Smithsonian
Dune Entertainment,444,Night at the Museum: Battle of the Smithsonian
21 Laps Entertainment,2575,Night at the Museum: Battle of the Smithsonian
Museum Canada Productions,10224,Night at the Museum: Battle of the Smithsonian
Moving Picture Company (MPC),20478,Night at the Museum: Battle of the Smithsonian
Ingenious Film Partners,289,X-Men Origins: Wolverine
Twentieth Century Fox Film Corporation,306,X-Men Origins: Wolverine
Donners' Company,431,X-Men Origins: Wolverine
Dune Entertainment,444,X-Men Origins: Wolverine
Seed Productions,9076,X-Men Origins: Wolverine
Bad Hat Harry Productions,9168,X-Men Origins: Wolverine
Big Screen Productions,10893,X-Men Origins: Wolverine
Marvel Enterprises,19551,X-Men Origins: Wolverine
Village Roadshow Pictures,79,The Matrix Revolutions
NPV Entertainment,172,The Matrix Revolutions
Silver Pictures,1885,The Matrix Revolutions
Warner Bros.,6194,The Matrix Revolutions
Laika Entertainment,11537,The Boxtrolls
Village Roadshow Pictures,79,The Matrix Reloaded
NPV Entertainment,172,The Matrix Reloaded
Heineken Branded Entertainment,375,The Matrix Reloaded
Silver Pictures,1885,The Matrix Reloaded
Warner Bros.,6194,The Matrix Reloaded
Marvel Studios,420,Thor: The Dark World
Village Roadshow Pictures,79,Mad Max: Fury Road
Kennedy Miller Productions,2537,Mad Max: Fury Road
Warner Bros.,6194,Mad Max: Fury Road
Columbia Pictures,5,Angels & Demons
Imagine Entertainment,23,Angels & Demons
Panorama Films,5561,Angels & Demons
Skylark Productions,8253,Angels & Demons
Marvel Studios,420,Thor
Walt Disney Animation Studios,6125,Bolt
Twentieth Century Fox Film Corporation,306,Kung Fu Panda 3
DreamWorks Animation,521,Kung Fu Panda 3
China Film Co.,40890,Kung Fu Panda 3
Oriental DreamWorks,76266,Kung Fu Panda 3
Walt Disney Pictures,2,G-Force
Jerry Bruckheimer Films,130,G-Force
Whamaphram Productions,3639,G-Force
Legendary Pictures,923,Wrath of the Titans
Thunder Road Pictures,3528,Wrath of the Titans
Warner Bros.,6194,Wrath of the Titans
Cott Productions,24175,Wrath of the Titans
"Furia de Titanes II, A.I.E.",24176,Wrath of the Titans
Village Roadshow Pictures,79,Dark Shadows
Infinitum Nihil,2691,Dark Shadows
GK Films,3281,Dark Shadows
Warner Bros.,6194,Dark Shadows
Tim Burton Productions,8601,Dark Shadows
Dan Curtis Productions,9228,Dark Shadows
"Zanuck Company, The",20004,Dark Shadows
Paramount Pictures,4,Mission: Impossible - Rogue Nation
Skydance Productions,6277,Mission: Impossible - Rogue Nation
China Movie Channel,11413,Mission: Impossible - Rogue Nation
Bad Robot,11461,Mission: Impossible - Rogue Nation
TC Productions,21777,Mission: Impossible - Rogue Nation
Alibaba Pictures Group,69484,Mission: Impossible - Rogue Nation
Odin,69485,Mission: Impossible - Rogue Nation
Universal Pictures,33,The Wolfman
Stuber Productions,4403,The Wolfman
Relativity Media,7295,The Wolfman
DreamWorks Animation,521,How to Train Your Dragon 2
Mad Hatter Entertainment,20154,How to Train Your Dragon 2
Pacific Data Images (PDI),520,Bee Movie
DreamWorks Animation,521,Bee Movie
Columbus 81 Productions,1903,Bee Movie
DreamWorks Animation,521,Kung Fu Panda 2
Paramount Pictures,4,The Last Airbender
Nickelodeon Movies,2348,The Last Airbender
"Kennedy/Marshall Company, The",7383,The Last Airbender
Industrial Light & Magic (ILM),8805,The Last Airbender
Blinding Edge Pictures,12236,The Last Airbender
Paramount Pictures,4,Mission: Impossible III
Cruise/Wagner Productions,44,Mission: Impossible III
Studio Babelsberg,264,Mission: Impossible III
MI 3 Film,658,Mission: Impossible III
China Film Co-Production Corporation,2269,Mission: Impossible III
China Film Group Corporation (CFGC),14714,Mission: Impossible III
The Fourth Production Company Film Group,22102,Mission: Impossible III
Columbia Pictures,5,White House Down
Centropolis Entertainment,347,White House Down
Iron Horse Entertainment (II),34981,White House Down
Mythology Entertainment (II),34982,White House Down
Walt Disney Animation Studios,6125,Mars Needs Moms
Aardman Animations,297,Flushed Away
DreamWorks Animation,521,Flushed Away
Warner Bros.,6194,Pan
Moving Picture Company (MPC),20478,Pan
Berlanti Productions,27711,Pan
RatPac-Dune Entertainment,41624,Pan
Pacific Data Images (PDI),520,Mr. Peabody & Sherman
DreamWorks Animation,521,Mr. Peabody & Sherman
Classic Media Productions,73951,Mr. Peabody & Sherman
Bullwinkle Studios,73952,Mr. Peabody & Sherman
Plan B Entertainment,81,Troy
Warner Bros.,6194,Troy
Nimar Studios,7636,Troy
Radiant Productions,18990,Troy
Helena Productions,19107,Troy
Latina Pictures,19108,Troy
Paramount Pictures,4,Mission: Impossible - Ghost Protocol
Skydance Productions,6277,Mission: Impossible - Ghost Protocol
Bad Robot,11461,Mission: Impossible - Ghost Protocol
TC Productions,21777,Mission: Impossible - Ghost Protocol
Revolution Sun Studios,76043,Mission: Impossible - Ghost Protocol
Kontsept Film Company,76067,Mission: Impossible - Ghost Protocol
DreamWorks Animation,521,Madagascar 3: Europe's Most Wanted
Eon Productions,7576,Die Another Day
Columbia Pictures,5,Ghostbusters
Village Roadshow Pictures,79,Ghostbusters
"Montecito Picture Company, The",4607,Ghostbusters
LStar Capital,34034,Ghostbusters
Feigco Entertainment,61791,Ghostbusters
Pascal Pictures,84041,Ghostbusters
Ghostcorps,84042,Ghostbusters
Jerry Bruckheimer Films,130,Armageddon
Touchstone Pictures,9195,Armageddon
Valhalla Motion Pictures,11533,Armageddon
Columbia Pictures,5,Men in Black II
Amblin Entertainment,56,Men in Black II
Columbia Pictures Corporation,441,Men in Black II
Parkes+MacDonald Image Nation,49325,Men in Black II
Paramount Pictures,4,Beowulf
Shangri-La Entertainment,2265,Beowulf
ImageMovers,11395,Beowulf
Paramount Animation,24955,Beowulf
DreamWorks Animation,521,Rise of the Guardians
Imagine Entertainment,23,Fun with Dick and Jane
Columbia Pictures Corporation,441,Fun with Dick and Jane
JC 23 Entertainment,76714,Fun with Dick and Jane
Cruise/Wagner Productions,44,The Last Samurai
Warner Bros.,6194,The Last Samurai
